" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Clearance Rates","","","","","","","","","",""
"Violent Crimes","47","49.6","50","43.8","52.5","44","48.1","41.1","39.9","42.1"
"Homicide","100","66.7","50","60","100","66.7","85.7","114.3","100","116.7"
"Forcible Rape","25.9","28.1","13.6","50","15.8","30.4","15.4","14.6","13.5","25.7"
"Robbery","48.7","46.3","24","30.2","45.5","35.6","20.8","21.3","45.6","30"
"Aggravated Assault","47.9","53.6","59.5","46.6","56.3","47.1","61.4","49.3","41.6","46.1"
"Property Crimes","20.1","16.2","17.7","9.1","6.9","5.5","6.5","6.6","5.5","8.6"
"Burglary","20.9","14.4","18","8.1","9.6","7.6","8.3","11.1","9.7","11.6"
"Motor Vehicle Theft","5.9","1.8","7.5","3.1","3.2","1.6","4.4","3.2","3.7","14.3"
"Larceny-Theft","22.8","21.9","20.4","11.4","7.2","6.1","6.7","6.3","5.2","5.3"
"Arson","22.2","10.5","10.5","13.3","22.2","3.2","12.1","10","12.2","14.3"
