" ","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Clearance Rates","","","","","","","","","",""
"Violent Crimes","43.8","52.5","44","48.1","41.1","39.9","42.1","43.4","36.5","49.8"
"Homicide","60","100","66.7","85.7","114.3","100","116.7","80","77.8","75"
"Forcible Rape","50","15.8","30.4","15.4","14.6","13.5","25.7","21.2","33.3","26.5"
"Robbery","30.2","45.5","35.6","20.8","21.3","45.6","30","45","45.2","37.1"
"Aggravated Assault","46.6","56.3","47.1","61.4","49.3","41.6","46.1","45.8","34.4","53.8"
"Property Crimes","9.1","6.9","5.5","6.5","6.6","5.5","8.6","6.8","10.6","14.5"
"Burglary","8.1","9.6","7.6","8.3","11.1","9.7","11.6","6.3","13.3","19.7"
"Motor Vehicle Theft","3.1","3.2","1.6","4.4","3.2","3.7","14.3","19.1","11.1","14"
"Larceny-Theft","11.4","7.2","6.1","6.7","6.3","5.2","5.3","5","8.8","13.2"
"Arson","13.3","22.2","3.2","12.1","10","12.2","14.3","14.3","28.6","56.2"
