 ,2019,2020,2021,2022,2023,2024
Crimes,,,,,,
Violent Crimes,326,404,354,279,334,458
Homicide,7,2,6,5,9,4
Rape (Forcible Rape prior to 2014),41,37,35,33,24,49
Rape,41,32,31,31,24,46
Attempted Rape,0,5,4,2,0,3
Robbery,61,57,70,40,31,35
Weapon,,,,,,
Firearm,13,12,12,8,5,8
Knife or Cutting Instrument,7,4,11,5,3,5
Other Weapon,7,9,6,5,8,4
Strong-Arm,34,32,41,22,15,18
Location,,,,,,
Highway,7,9,9,5,10,10
Commercial,7,9,13,5,4,4
Gas Station,3,4,7,4,8,1
Convenience Store,7,5,5,4,3,5
Residence,18,13,19,9,4,3
Bank,0,1,0,1,0,0
Miscellaneous,19,16,17,12,2,12
Aggravated Assault,217,308,243,201,270,370
Weapon,,,,,,
Firearm,33,50,50,32,42,29
Knife or Cutting Instrument,42,50,48,23,29,47
Other Weapon,92,138,101,80,74,135
Hands  Fists  Feet,50,70,44,66,125,159
Property Crimes,"1,844","1,841","1,284","1,227",828,765
Burglary,405,318,242,302,264,142
Means of Entry,,,,,,
Forcible Entry,252,185,158,205,177,59
No Force,153,133,84,97,87,83
Location / Time,,,,,,
Residence,245,180,137,114,103,76
Night,43,44,38,26,34,24
Day,80,50,46,53,43,46
Unknown,122,86,53,35,26,6
Non-Residence,160,138,105,188,161,66
Night,56,59,35,56,90,26
Day,30,28,28,104,52,34
Unknown,74,51,42,28,19,6
Motor Vehicle Theft,475,623,293,131,144,100
Automotive,356,386,197,116,123,90
Trucks and Buses,81,160,72,4,3,6
Other,38,77,24,11,18,4
Larceny-Theft,964,900,749,794,420,523
Type,,,,,,
Pocket-Picking,0,3,6,0,0,6
Purse-Snatching,4,7,3,4,4,4
Shoplifting,93,68,73,116,99,90
From Motor Vehicle,311,275,206,126,51,85
Motor Vehicle Accessories,86,106,96,66,27,27
Bicycles,14,9,7,9,12,10
From Building,92,84,58,43,35,72
Coin Operated Machine,4,2,3,0,0,1
Other,360,346,297,430,192,228
Value,,,,,,
Over $400,382,406,null,null,0,null
Over $200,0,0,477,522,270,298
$200 through $400,142,116,null,null,0,null
$50 through $199,179,131,102,92,63,80
Under $50,261,247,170,180,87,145
Arson,20,41,28,21,14,16
Structural Property,5,14,8,12,2,4
Mobile Property,6,13,11,7,4,2
Other Property,9,14,9,2,8,10
